question,options1,optios2,options3,options4,answer
In which year did the Government of India set up the first mutual fund by an Act of Parliament?,1979,1982,1963,1971,1963
Which of the following is considered a capital expense?,Pension,Payment of salaries,Subsidies,Construction of school buildings,Construction of school buildings
"In India, which of the following statements about the National Investment Fund is true?
  Statements:
  I. It was created in 2005.
  II. 75% of its annual income was to be used for schemes promoting health, education and employment.
  III. It was dissolved in 2018.",Only statement I,Only statement II,Only statements I and III,Only statements I and II,Only statements I and II
Which of the following is NOT a public sector insurance company?,United India Insurance Company Limited,The New India Assurance Company Limited,SBI Life Insurance,General Insurance Corporation of India,SBI Life Insurance
"As per the recommendations of the National Statistical Commission, the Base Year of the GDP Series in India was revised from 2004-05 to ______ with effect from January 2015.",2011-12,2013-14,2005-06,2009-10,2011-12
To which of the following sectors of the economy do Basel III norms belong?,Banking,Capital market,Automobile,Aviation,Banking
Which Indian finance minister was India’s delegate to the World Monetary Conference at Bretton Woods in 1944?,KC Neogy,CD Deshmukh,John Mathai,RK Shanmukham Chetty,RK Shanmukham Chetty
The difference between Revenue Receipts plus Non-debt Capital Receipts (NDCR) and total expenditure is called ______.,Revenue Deficit,Fiscal Deficit,Effective Revenue Deficit,Primary Deficit,Fiscal Deficit
The Reserve Bank of India introduced a comprehensive regulatory framework for NBFC-MFI on __________.,10-Dec-15,02-Dec-11,8 December 2013,05-Dec-12,02-Dec-11
The ______ was nationalised in the year 1949.,Union Bank of India,Reserve Bank of India,Central Bank of India,Imperial Bank of India,Reserve Bank of India
Who is known as the father of Blue Revolution in India?,Verghese Kurien,Sam Pitroda,Hiralal Chaudhuri,M.S. Swaminathan,Hiralal Chaudhuri
Amartya Sen was awarded the Noble Prize for his contribution to–,Monetary Economics,Welfare Economics,Econometrics,Development Economics,Welfare Economics
Labour Intensive Technique would get chosen in a–,Labour Surplus Economy,Capital Surplus Economy,Developed Economy,Developing Economy,Labour Surplus Economy
The Surplus earned by a factor other thus land in the short period is referred as –,Economic Rent,Net Rent,Quasi-Rent,Super-Normal Rent,Quasi-Rent
The Relationship between rate of interest and consumption level was firstly estimated by–,Amartya Sen,Milton Freedman,Irwing Fischer,James Duezan Berry,Milton Freedman
"Due to worldwide great depression, ‘New Deal’ was declared by?",Abhraham Lincon,Benzamin Frankllin,J.F. Kennedy,Roozwelt,Roozwelt
Rent is a cost paid for–,Land,Restaurant,Building,Factory,Land
The Production of a commodity mostly through the natural process is an activity of–,Primary Sector,Secondary Sector,Tertiary Sector,Technology Sector,Primary Sector
The Social Accounting system in India is classified into–,"Assets, Liabilities and Debt Position","Public sector, Private Sector and Joint Sector","Income, Product and Expenditure","Enterprise, Households and Government","Income, Product and Expenditure"
Arthashastra by “Kautilya” is related with–,Military Phase,Political Reign,Social Phase,Economic Postulates,Political Reign
Where can we see the values of Indian democracy in the constitution?,Preamble,Part-3,Part-4,Part-1,Preamble
"In which year, the name of Laccadive, Minicoy and Aminidivi Islands was changed in Lakshadweep by parliamentary act-",1973,1971,1970,1972,1973
How many states are in Union of India-,28,27,30,29,29
The number of union territories in India are-,5,7,9,6,7
"Under Article 1 of the Indian constitution,it is declared that “Bharat means India shall be______”-",Union of States,Federal State of Unitary features,Federal State of Federal features,Federal state,Union of States
How India is defined article 1 of the constitution-,Federal,Federal with strong unitary base,Confederation,Union of states,Union of states
The division of power and Independence of judiciary are two important features of –,Democratic character of government,Federal character of government,Socialist character of government,Unitary character of government,Federal character of government
"In which of the form, composit India has been described in the constitution-",A Union State,Semi-Federal,Federation of States and Territories,Partly Unitary and Partly Federal,Federation of States and Territories
"In which of the following form, India has been described as in the constitution-",Confederation,Unitary,Union of states,Federation,Union of states
Where is the word “Federal” used in the constitution of India-,Preamble,Part3,Article 368,Nowhere in constitution,Nowhere in constitution
A and B can do a piece of work in 72 days. B and C can do it in 120 days. A and C can do it in 90 days. In how many days all three together can do the work ?,80 days,100 days,60 days,150 days,60 days
